year,census_subdivision_code,municipality_name_raw,municipality_type,population,quality_status,source_file,source_sheet
2017,4802019,Coaldale3 *,T,8503,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802019,Coaldale3 *,T,8645,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802019,Coaldale3 *,T,8920,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802019,Coaldale3 *,T,9070,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802019,Coaldale3 *,T,9073,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802019,Coaldale3 *,T,9179,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802019,Coaldale3 *,T,9309,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802019,Coaldale3 *,T,9475,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802019,Coaldale3 *,T,9644,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802021,Taber,MD,7292,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802021,Taber,MD,7454,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802021,Taber,MD,7528,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802021,Taber,MD,7470,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802021,Taber,MD,7496,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802021,Taber,MD,7697,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802021,Taber,MD,7751,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802021,Taber,MD,7857,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802021,Taber,MD,7962,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802021,Taber,MD,8009,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802022,Taber,T,8663,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802022,Taber,T,8822,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802022,Taber,T,8952,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802022,Taber,T,8957,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802022,Taber,T,8942,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802022,Taber,T,9177,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802022,Taber,T,9325,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802022,Taber,T,9660,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802022,Taber,T,9892,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802022,Taber,T,10175,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802023,Barnwell,VL,975,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802023,Barnwell,VL,902,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802023,Barnwell,VL,942,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802023,Barnwell,VL,991,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802023,Barnwell,VL,1037,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802023,Barnwell,VL,1008,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802023,Barnwell,VL,1026,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802023,Barnwell,VL,1044,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802023,Barnwell,VL,1063,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802023,Barnwell,VL,1073,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802029,Vauxhall,T,1253,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802029,Vauxhall,T,1216,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
